,Aerolinea,Fecha Salida,Hora Salida,Vuelo Salida,Destino,%LF DEP,Mes,Dia Dep,categoria
5392,AVA,2025-02-04,9:20:00 a.m.,9307,BOG,101.66,febrero,martes,AA
5393,AVA,2025-02-04,10:07:00 a.m.,9557,BOG,80.66,febrero,martes,AA
5394,AVA,2025-02-04,11:30:00 a.m.,9349,BOG,98.9,febrero,martes,AAA
5395,AVA,2025-02-04,12:03:00 p.m.,9339,BOG,85.08,febrero,martes,A
5396,AVA,2025-02-04,12:22:00 p.m.,9346,BOG,87.29,febrero,martes,B
5397,AVA,2025-02-04,1:04:00 p.m.,9329,BOG,81.22,febrero,martes,AA
5398,AVA,2025-02-04,1:47:00 p.m.,9337,BOG,91.71,febrero,martes,AAA
5399,AVA,2025-02-04,3:08:00 p.m.,9309,BOG,80.66,febrero,martes,AA
5400,AVA,2025-02-04,4:41:00 p.m.,9313,BOG,96.69,febrero,martes,AAA
5401,AVA,2025-02-04,5:11:00 p.m.,9343,BOG,100.55,febrero,martes,AAA
5402,AVA,2025-02-04,6:34:00 p.m.,9375,BOG,91.16,febrero,martes,AAA
5403,AVA,2025-02-04,6:30:00 p.m.,8405,BOG,39.78,febrero,martes,A
5404,AVA,2025-02-04,7:23:00 p.m.,8415,BOG,60.77,febrero,martes,AA
5405,AVA,2025-02-04,7:40:00 p.m.,9261,BOG,67.4,febrero,martes,A
5406,AVA,2025-02-04,8:24:00 p.m.,9331,BOG,44.75,febrero,martes,AA
5407,AVA,2025-02-04,8:32:00 p.m.,9315,BOG,52.49,febrero,martes,A
5408,AVA,2025-02-04,9:33:00 p.m.,9569,BOG,76.8,febrero,martes,A
5409,AVA,2025-02-04,10:51:00 p.m.,9335,BOG,24.86,febrero,martes,AA
5410,AVA,2025-02-05,5:00:00 a.m.,9653,BOG,90.61,enero,mircoles,AA
5411,AVA,2025-02-05,2:58:00 p.m.,9337,BOG,80.66,febrero,mircoles,AAA
5412,AVA,2025-02-05,6:05:00 a.m.,9245,BOG,97.24,febrero,mircoles,AA
5413,AVA,2025-02-05,4:52:00 a.m.,8475,BOG,60.22,febrero,mircoles,A
5414,AVA,2025-02-05,6:50:00 a.m.,8435,BOG,98.34,febrero,mircoles,AA
